Committee,Name,Role,ImageURL,Region
Executive Committee,Deepak Maskey,President,https://8shashank.github.io/sncc-crop/DeepakMaskey.png,
Executive Committee,Arjun Banjara,Vice President,https://8shashank.github.io/sncc-crop/ArjunBanjara.png,
Executive Committee,Jagadish Babu Shrestha,General Secretary,https://8shashank.github.io/sncc-crop/JagadishShrestha.png,
Executive Committee,Santosh K Sah,Treasurer,https://8shashank.github.io/sncc-crop/SantoshSah.png,
Executive Committee,Laxmi Prasad Ghimire,Joint Treasurer,https://8shashank.github.io/sncc-crop/LaxmiPGhimire.png,
Executive Committee,Binod Pokhrel,Executive members,https://8shashank.github.io/sncc-crop/BinodPokhrel.png,
Executive Committee,Bishal Malla,Executive members,https://8shashank.github.io/sncc-crop/BishalMalla.png,
Executive Committee,Gajendra Adhikari,Executive members,https://8shashank.github.io/sncc-crop/GajendraAdhikari.png,
Executive Committee,Govinda Dhakal,Executive members,https://8shashank.github.io/sncc-crop/GovindaDhakal.png,
Executive Committee,Kapil Tiwari,Executive members,https://8shashank.github.io/sncc-crop/KapilTiwari.png,
Executive Committee,Lovila Shrestha,Executive members,https://8shashank.github.io/sncc-crop/LovilaShrestha.png,
Executive Committee,Madan Karki,Executive members,https://8shashank.github.io/sncc-crop/MadanKarki.png,
Executive Committee,Nita Thoreson,Executive members,https://8shashank.github.io/sncc-crop/NitaThoreson.png,
Executive Committee,Pratikshya Baral,Executive members,https://8shashank.github.io/sncc-crop/PratikshyaBaral.png,
Executive Committee,Rajendra Adhikari,Executive members,https://8shashank.github.io/sncc-crop/RajendraAdhikari.png,
Executive Committee,Rajendra Prasad Devkota,Executive members,https://8shashank.github.io/sncc-crop/RajendraPrasadDevkota.png,
Executive Committee,Shanti Poudyal,Executive members,https://8shashank.github.io/sncc-crop/ShantiPoudyal.png,
Executive Committee,Subash Kunwar,Executive members,https://8shashank.github.io/sncc-crop/SubashKunwar.png,
Executive Committee,Sujan Pokhrel,Executive members,https://8shashank.github.io/sncc-crop/SujanPokhrel.png,
Executive Committee,Tikaram Subedy,Executive members,https://8shashank.github.io/sncc-crop/TikaramSubedy.png,


Board of Trustee,Dr Dinesh Pokharel,Chairperson,https://8shashank.github.io/sncc-crop/DrDineshPokharelChairpersonBOT.png,
Board of Trustee,Shiva Pokharel,Secretary,https://8shashank.github.io/sncc-crop/ShivaPokharel.png,

ByLaws Committee,Dr. Durga Dahal,Coordinator,https://snccbucket202020.s3-us-west-1.amazonaws.com/officers/W5DBxx3iyjFiqvWzieIrG1ACgrvAuGhtP90D9cEU.jpeg,
ByLaws Committee,Kishore Sherchand,Member,https://snccbucket202020.s3-us-west-1.amazonaws.com/officers/logo.png,
ByLaws Committee,Tikaram Subedy,Member,https://8shashank.github.io/sncc-crop/TikaramSubedy.png,
ByLaws Committee,Jagadish Babu Shrestha,Member,https://8shashank.github.io/sncc-crop/JagadishShrestha.png,
ByLaws Committee,Mahendra Bhandari,Member,https://snccbucket202020.s3-us-west-1.amazonaws.com/officers/2DGKamxBe7XSZefVlnH7PnhxVZcecGjgIvo3CXTH.jpeg,
ByLaws Committee,Rabindra Pandey,Member,https://snccbucket202020.s3-us-west-1.amazonaws.com/officers/Pg4qukzoKSijVwTZXhWElmRUsICcEsRboA5qvUqm.jpeg,
ByLaws Committee,Dilli Bhusal,Member,https://snccbucket202020.s3-us-west-1.amazonaws.com/officers/Ub1MsCE4cw99sBzgUlUtrq9b598p8gJw1ufPKfQ2.jpeg,

Regional Leads,Jaya Prakash Shah,,https://snccbucket202020.s3-us-west-1.amazonaws.com/officers/logo.png,Davis
Regional Leads,Mahesh Pandey,,https://i.ibb.co/RGYRfpjT/mp.jpg,Elk Grove
Regional Leads,Madan Karki,,https://8shashank.github.io/sncc-crop/MadanKarki.png,Folsom
Regional Leads,Surendra Adhikari,,https://snccbucket202020.s3-us-west-1.amazonaws.com/officers/logo.png,Natomas
Regional Leads,Sujan Pokhrel,,https://8shashank.github.io/sncc-crop/SujanPokhrel.png,Rancho Cordova
Regional Leads,Ayodhya Upadhyay,,https://snccbucket202020.s3-us-west-1.amazonaws.com/officers/logo.png,Roseville Rocklin & Antelope
Regional Leads,Janardan Adhikari,,https://snccbucket202020.s3-us-west-1.amazonaws.com/officers/logo.png,Woodland

IT Committee,Shashank Sharma,Lead Developer (Current),https://lh3.googleusercontent.com/pw/AP1GczM3n3NOT_tFizzBnE06LpOVlnBCWYm5YbJGTtNfpuOaIEnBKEoDJYk-drDWi7C8l0VAhDpgb8zp5TsaIgP2upcjhkkA8c3Sj9gUOsdhZkNapCtYl9C1BaoSVxwXHZF1338dx-Hs5rBy9YGuuhnzb_4V=w800-h800-s-no-gm?authuser=0,
IT Committee,Saroj Bardewa,Founding Developer (Past),https://lh3.googleusercontent.com/pw/AP1GczPz2y9gcuMxh-u3DgIh9-dCsHxHnMwoRFr8mNleok8uWtXB08Jb635FtZuvRkKUBvIKO3m41xZqbbfhRsFhtYkv4VmDkxHtIjRRFNqP-SfaKKCcr1SkcGBiK7z9-WmzU8gwP-LXcb-rJdHLkt3M9TRz=w1235-h1214-s-no-gm?authuser=0,
IT Committee,Bipul Wagle,Developer (Past),https://snccbucket202020.s3-us-west-1.amazonaws.com/officers/logo.png,
IT Committee,Bishal Wagle,Developer (Past),https://snccbucket202020.s3-us-west-1.amazonaws.com/officers/logo.png,
